Date,Open,High,Low,Close,Adj Close,Volume
2015-10-30,15.575000,15.575000,15.530000,15.566000,15.566000,31
2015-11-01,null,null,null,null,null,null
2015-11-02,15.413000,15.413000,15.413000,15.413000,15.413000,19
2015-11-03,15.385000,15.385000,15.244000,15.244000,15.244000,4
2015-11-04,15.200000,15.200000,15.063000,15.063000,15.063000,1
2015-11-05,14.988000,14.988000,14.988000,14.988000,14.988000,1
2015-11-06,15.035000,15.045000,14.696000,14.696000,14.696000,0
2015-11-08,null,null,null,null,null,null
2015-11-09,14.418000,14.418000,14.418000,14.418000,14.418000,14
2015-11-10,14.356000,14.356000,14.356000,14.356000,14.356000,0
2015-11-11,14.310000,14.310000,14.262000,14.262000,14.262000,3
2015-11-12,14.450000,14.450000,14.224000,14.224000,14.224000,10
2015-11-13,14.203000,14.203000,14.203000,14.203000,14.203000,16
2015-11-15,null,null,null,null,null,null
2015-11-16,14.450000,14.455000,14.185000,14.221000,14.221000,0
2015-11-17,14.135000,14.170000,14.135000,14.170000,14.170000,4
2015-11-18,14.020000,14.100000,14.020000,14.080000,14.080000,2
2015-11-19,14.242000,14.242000,14.242000,14.242000,14.242000,14
2015-11-20,14.106000,14.106000,14.106000,14.106000,14.106000,33
2015-11-22,null,null,null,null,null,null
2015-11-23,14.042000,14.145000,14.042000,14.042000,14.042000,1
2015-11-24,14.275000,14.280000,14.169000,14.169000,14.169000,3
2015-11-25,14.168000,14.168000,14.168000,14.168000,14.168000,5
2015-11-27,14.160000,14.350000,13.905000,14.008000,14.008000,54195
2015-11-29,null,null,null,null,null,null
2015-11-30,14.020000,14.155000,13.955000,14.050000,14.050000,17231
2015-12-01,14.040000,14.215000,14.040000,14.055000,14.055000,1623
2015-12-02,14.125000,14.140000,13.890000,13.979000,13.979000,281
2015-12-03,13.855000,14.095000,13.770000,14.053000,14.053000,210
2015-12-04,14.050000,14.555000,14.050000,14.505000,14.505000,498
2015-12-06,null,null,null,null,null,null
2015-12-07,14.480000,14.605000,14.307000,14.307000,14.307000,92
2015-12-08,14.195000,14.250000,14.091000,14.091000,14.091000,60
2015-12-09,14.140000,14.265000,14.110000,14.164000,14.164000,72
2015-12-10,14.110000,14.115000,14.080000,14.085000,14.085000,37
2015-12-11,14.025000,14.025000,13.859000,13.859000,13.859000,6
2015-12-13,null,null,null,null,null,null
2015-12-14,13.875000,13.925000,13.666000,13.666000,13.666000,20
2015-12-15,13.635000,13.740000,13.635000,13.740000,13.740000,90
2015-12-16,13.760000,14.235000,13.760000,14.218000,14.218000,2
2015-12-17,13.885000,13.885000,13.683000,13.683000,13.683000,22
2015-12-18,13.820000,14.160000,13.820000,14.080000,14.080000,150
2015-12-20,null,null,null,null,null,null
2015-12-21,14.105000,14.301000,14.105000,14.301000,14.301000,20
2015-12-22,14.225000,14.380000,14.225000,14.302000,14.302000,19
2015-12-23,14.300000,14.300000,14.240000,14.277000,14.277000,35
2015-12-24,14.365000,14.369000,14.365000,14.369000,14.369000,71
2015-12-27,null,null,null,null,null,null
2015-12-28,14.035000,14.035000,13.855000,13.873000,13.873000,4
2015-12-29,14.020000,14.020000,13.917000,13.917000,13.917000,10
2015-12-30,13.925000,13.925000,13.745000,13.814000,13.814000,108
2015-12-31,13.775000,13.775000,13.775000,13.775000,13.775000,106
2016-01-03,null,null,null,null,null,null
2016-01-04,14.100000,14.100000,13.817000,13.817000,13.817000,13
2016-01-05,13.949000,13.949000,13.949000,13.949000,13.949000,27
2016-01-06,14.000000,14.065000,13.957000,13.957000,13.957000,4
2016-01-07,14.335000,14.340000,14.330000,14.335000,14.335000,105
2016-01-08,14.060000,14.060000,13.908000,13.908000,13.908000,286
2016-01-10,null,null,null,null,null,null
2016-01-11,13.950000,14.010000,13.855000,13.855000,13.855000,6
2016-01-12,13.860000,13.860000,13.710000,13.740000,13.740000,17
2016-01-13,13.850000,14.145000,13.850000,14.145000,14.145000,15
2016-01-14,13.737000,13.737000,13.737000,13.737000,13.737000,17
2016-01-15,13.884000,13.884000,13.884000,13.884000,13.884000,1
2016-01-17,null,null,null,null,null,null
2016-01-18,null,null,null,null,null,null
2016-01-19,14.065000,14.110000,14.065000,14.110000,14.110000,0
2016-01-20,14.147000,14.147000,14.147000,14.147000,14.147000,3
2016-01-21,14.083000,14.083000,14.083000,14.083000,14.083000,1
2016-01-22,14.290000,14.290000,14.043000,14.043000,14.043000,2
2016-01-24,null,null,null,null,null,null
2016-01-25,14.095000,14.240000,14.095000,14.240000,14.240000,7
2016-01-26,14.385000,14.544000,14.385000,14.544000,14.544000,8
2016-01-27,14.440000,14.440000,14.440000,14.440000,14.440000,1
2016-01-28,14.355000,14.355000,14.215000,14.216000,14.216000,53
2016-01-29,14.229000,14.265000,14.229000,14.229000,14.229000,27
2016-01-31,null,null,null,null,null,null
2016-02-01,14.245000,14.370000,14.235000,14.329000,14.329000,27
2016-02-02,14.260000,14.276000,14.255000,14.276000,14.276000,9
2016-02-03,14.400000,14.775000,14.400000,14.720000,14.720000,2
2016-02-04,14.765000,14.900000,14.735000,14.836000,14.836000,47
2016-02-05,14.860000,14.900000,14.725000,14.764000,14.764000,23
2016-02-07,null,null,null,null,null,null
2016-02-08,14.910000,15.420000,14.910000,15.416000,15.416000,7
2016-02-09,15.390000,15.444000,15.340000,15.444000,15.444000,62
2016-02-10,15.277000,15.300000,15.277000,15.277000,15.277000,18
2016-02-11,15.300000,15.789000,15.300000,15.789000,15.789000,3
2016-02-12,15.730000,15.785000,15.730000,15.785000,15.785000,58
2016-02-14,null,null,null,null,null,null
2016-02-15,null,null,null,null,null,null
2016-02-16,15.385000,15.385000,15.329000,15.329000,15.329000,2
2016-02-17,15.372000,15.372000,15.372000,15.372000,15.372000,7
2016-02-18,15.427000,15.427000,15.427000,15.427000,15.427000,0
2016-02-19,15.368000,15.368000,15.368000,15.368000,15.368000,0
2016-02-21,null,null,null,null,null,null
2016-02-22,15.179000,15.179000,15.179000,15.179000,15.179000,1
2016-02-23,15.235000,15.235000,15.235000,15.235000,15.235000,1
2016-02-24,15.292000,15.292000,15.292000,15.292000,15.292000,0
2016-02-25,15.185000,15.185000,15.165000,15.165000,15.165000,1
2016-02-26,15.135000,15.230000,14.675000,14.689000,14.689000,68976
2016-02-28,null,null,null,null,null,null
2016-02-29,14.735000,14.925000,14.610000,14.896000,14.896000,23335
2016-03-01,14.925000,15.040000,14.725000,14.733000,14.733000,1598
2016-03-02,14.810000,15.003000,14.760000,15.003000,15.003000,921
2016-03-03,14.945000,15.330000,14.920000,15.131000,15.131000,809
2016-03-04,15.220000,15.780000,15.140000,15.681000,15.681000,678
2016-03-06,null,null,null,null,null,null
2016-03-07,15.570000,15.795000,15.525000,15.623000,15.623000,912
2016-03-08,15.710000,15.750000,15.365000,15.384000,15.384000,933
2016-03-09,15.385000,15.395000,15.195000,15.355000,15.355000,906
2016-03-10,15.315000,15.625000,15.175000,15.546000,15.546000,163
2016-03-11,15.605000,15.660000,15.550000,15.607000,15.607000,571
2016-03-13,null,null,null,null,null,null
2016-03-14,15.550000,15.800000,15.370000,15.518000,15.518000,379
2016-03-15,15.385000,15.410000,15.245000,15.255000,15.255000,276
2016-03-16,15.270000,15.660000,15.214000,15.214000,15.214000,259
2016-03-17,15.630000,16.035000,15.595000,16.021999,16.021999,167
2016-03-18,16.084999,16.150000,15.806000,15.806000,15.806000,382
2016-03-20,null,null,null,null,null,null
2016-03-21,15.795000,15.860000,15.750000,15.841000,15.841000,118
2016-03-22,15.950000,15.955000,15.845000,15.877000,15.877000,21
2016-03-23,15.500000,15.500000,15.255000,15.263000,15.263000,45
2016-03-24,15.290000,15.315000,15.180000,15.191000,15.191000,215
2016-03-27,null,null,null,null,null,null
2016-03-28,15.180000,15.325000,15.180000,15.194000,15.194000,73
2016-03-29,15.115000,15.237000,15.115000,15.237000,15.237000,91
2016-03-30,15.365000,15.365000,15.206000,15.206000,15.206000,60
2016-03-31,15.420000,15.460000,15.420000,15.460000,15.460000,36
2016-04-01,15.042000,15.042000,15.042000,15.042000,15.042000,39
2016-04-03,null,null,null,null,null,null
